Helyiség;Kategória;Szint;Termék;Bolt;Hol kapható;Anyag / szín;Méret;Ár (Ft);Ármegjegyzés;Javasolt db;Összesen (Ft);Link;Miért illik;Mire figyelj;Ellenőrzés módja;Ellenőrizve;Link állapot;Pénznem;Eredeti ár;Eredeti részösszeg;Készlet / feltétel;Forintos költségútban;Ajánlás feltétele;Beköltözési prioritás;Prioritás indoka;Prioritás feltétele;Költségkizárás indoka
00-altalanos-hangulat;Csúszásgátló szőnyeg alátét;olcsóbb;Szőnyegalátét HYBEN csúszásgátló, 130x190 cm, fehér;JYSK;online (jysk.hu), házhozszállítás vagy Click & Collect;100% poliészter felület, SEBS csúszásgátló hátoldal, fehér;130x190 cm;2750;/db;1;2750;https://jysk.hu/lakberendezes/szonyegek/csuszasgatlo-szonyeg-alatetek/szonyegalatet-hyben-csuszasgatlo-130x190;JYSK-alternatíva az IKEA STOPP FILT mellé hasonló méretben, ha valamelyik szőnyeghez pont ez illik jobban, vagy ha a Budaörs/Pilisvörösvár JYSK könnyebben elérhető aznap.;"Fehér színben; ha látszik a szőnyeg szélén, sötétebb padlón jobban feltűnhet, mint az IKEA szürke változata.";termékoldal;2026-09-20;200;HUF;2750;2750;;igen;;Prio 2;"A halasztott szőnyeggel együtt vásárolható; önmagában nincs rá szükség.";Ha a szőnyeg már beköltözéskor használatba kerül és alátétet igényel, az alátét vele együtt P1.;
00-altalanos-hangulat;Dekor növény – eukaliptusz ág;ajánlott;SMYCKA Műnövény, eukaliptusz/zöld, 65 cm;IKEA;online (ikea.com/hu) + áruház (Budaörs);poliészter (min. 50-100% újrahasznosított), acél szár, zöld;magasság 65 cm, 1 szál/csomag;995;/szál;3;2985;https://www.ikea.com/hu/hu/p/smycka-munoeveny-eukaliptusz-zoeld-80335773/;Élethű eukaliptusz ág vázába – az irányelv szerint elfogadható a szárított/műnövény változat is, ez adja a 'zöld a palettában, nem csak a cserépben' effektust ott, ahol nincs élő növény.;"Kifejezetten szárított valódi eukaliptusz ágat magyar webshopban nem sikerült ezen a körön ellenőrizni; ez egy jó minőségű műnövény-alternatíva helyette.";termékoldal;2026-09-20;200;HUF;995;2985;;igen;;Prio 2;"Az egész ház végleges textil-, tároló- és dekorcsomagja később is összeállítható; indulásra csak a használt helyiségek alapfunkcióit rendezzük.";;
00-altalanos-hangulat;Dupla karnis;ajánlott;Kétsoros 19x19mm karnis - CYLINDER - antik;Árnyékolókweb (arnyekolokweb.hu);"online rendelés, házhoz szállítás (2–3 nap); ingyenes méretre vágás";"galvanizált fém, „antik (matt arany)” árnyalat – a fotón sötétebb, antikolt óarany tónus, matt; hengeres végzáró";"2 × Ø 19 mm rúd; rúdhossz 1000–4800 mm (3200 mm-től toldott, 3 dupla konzollal)";19490;"/szett, 3200 mm karikákkal és csipeszekkel. 2400 mm: 14 890 Ft, 3600 mm: 20 890 Ft, 4000 mm: 22 390 Ft; karika nélkül 11 890 / 15 590 / 16 590 / 17 490 Ft. 30% akció. Ár a termékoldal változat-kalkulátorából. Az akció a bolt szerint 2026-09-21-ig érvényes – utána kb. 30%-kal drágább.";3;58470;https://arnyekolokweb.hu/ketsoros-19x19mm-karnis-cylinder-antik/p-983426;A 3 ablakhoz, ahol fényáteresztő + sötétítő függöny kell: ugyanaz a matt arany CYLINDER család, mint a szimpla karnis, így a ház minden ablakán azonos a fém és a végzáró.;Dupla konzol messzebb áll a faltól – radiátor/ablakpárkány felett ellenőrizni a kiállást. „Antik” tónust mintával összenézni. 240 cm felett toldott rudak.;termékoldal;2026-09-20;200;HUF;19490;58470;;igen;;Prio 2;"Indulásra a használt háló és babaszoba külön rolójával számolunk; a teljes házas függöny/karnis összeállítás későbbre maradhat.";"Ha az induló sötétítést mégis függönnyel oldjátok meg, az ehhez kellő sín/karnis és bélés együtt P1; a szobai rolót ilyenkor kiváltják.";
00-altalanos-hangulat;Fonott tárolókosár (kicsi, ~25 cm);ajánlott;FLÅDIS kosár, tengerifű, 25 cm;IKEA;online (ikea.com/hu) + áruház (Budaörs);kézzel font tengerifű, natúr, átlátszó lakkbevonattal;Ø 25 cm, magasság 32 cm (fül lehajtva min. 18 cm);3990;;4;15960;https://www.ikea.com/hu/hu/p/fladis-kosar-tengerifu-60322173/;"A ház egységes fonott rost családjának legkisebb tagja – polcra, fürdőbe, gyerekszobába apró tárgyakhoz; a lehajtható fülek miatt gyorsan elrejthető, amit egy kisbabás háztartásban nem szabad látni.";"Kézi fonás miatt darabonként kicsit eltér a mintázat; csak dekorra/könnyű tárgyakra való, nem teherbíró tároló.";termékoldal;2026-09-20;200;HUF;3990;15960;;igen;;Prio 2;"Az egész ház végleges textil-, tároló- és dekorcsomagja később is összeállítható; indulásra csak a használt helyiségek alapfunkcióit rendezzük.";;
00-altalanos-hangulat;Fonott tárolókosár (közepes, ~32 cm);ajánlott;KNIPSA kosár, tengerifű, 32x33x32 cm;IKEA;online (ikea.com/hu) + áruház (Budaörs);tengerifű fonat acélvázon, natúr;32x33 cm, magasság 32 cm;6990;/db (online rendelésnél min. 2 db);4;27960;https://www.ikea.com/hu/hu/p/knipsa-kosar-tengerifu-20110540/;Közepes méretű, tiszta tengerifű kosár – pléd, játék vagy törölköző tárolására nappaliban/hálóban egyaránt jó, és pontosan illik a KALLAX-szerű polcrendszerekbe is.;Online rendelésnél 2 db a minimum egységmennyiség.;termékoldal;2026-09-20;200;HUF;6990;27960;;igen;;Prio 2;"Az egész ház végleges textil-, tároló- és dekorcsomagja később is összeállítható; indulásra csak a használt helyiségek alapfunkcióit rendezzük.";;
00-altalanos-hangulat;Fonott tárolókosár (közepes, ~32 cm);olcsóbb;LUSTIGKURRE kosár, natúr vízi jácint/tengerifű, 32x33x32 cm;IKEA;online (ikea.com/hu) + áruház (Budaörs);vízi jácint és tengerifű kombinált fonat, natúr;32x33 cm, magasság 32 cm;5990;;4;23960;https://www.ikea.com/hu/hu/p/lustigkurre-kosar-natur-vizi-jacint-tengerifu-30457328/;Ugyanaz a méret, mint a KNIPSA, kicsit olcsóbban, vízi jácint/tengerifű keverék fonattal – a brief kifejezetten említi a vízi jácintot is, ez a család erre a lehetőségre a válasz.;A vízi jácint szál kicsit durvább mintázatú, mint a sima tengerifű – egymás mellett érdemes megnézni, hogy stílusban illik-e a KNIPSA mellé.;termékoldal;2026-09-20;200;HUF;5990;23960;;igen;;Prio 2;"Az egész ház végleges textil-, tároló- és dekorcsomagja később is összeállítható; indulásra csak a használt helyiségek alapfunkcióit rendezzük.";;
00-altalanos-hangulat;Fonott tárolókosár (nagy, fedeles);prémium;Tengerifű tárolókosár szett 2 db-os, 40x60x21 cm, Tossa (Kave Home);Bonami;online (bonami.hu), házhozszállítás;tengerifű, natúr, fedéllel;40x60x21 cm (2 db-os szett, két mérettel);45340;utolsó raktáron lévő darab a termékoldal szerint;1;45340;https://www.bonami.hu/p/tengerifu-tarolokosar-szett-2-db-os-40x60x21-cm-tossa-kave-home;Fedeles, nagy méretű tengerifű kosárszett – a kisbabás háztartáshoz ajánlott 'zárt tárolás szem­magasság alatt' elvet szolgálja (pl. plédek, játékok elrejtve), miközben a fonott rost megjelenés megmarad.;"Jóval drágább, mint az IKEA darabok; a termékoldal szerint ez az utolsó raktáron lévő készlet, utánrendelhetőségét érdemes ellenőrizni vásárlás előtt.";termékoldal;2026-09-20;200;HUF;45340;45340;;igen;;Prio 2;"Az egész ház végleges textil-, tároló- és dekorcsomagja később is összeállítható; indulásra csak a használt helyiségek alapfunkcióit rendezzük.";;
00-altalanos-hangulat;Fonott tárolókosár (nagy, ~54 cm);ajánlott;SNIDAD kosár, rattan, 54x39 cm;IKEA;online (ikea.com/hu) + áruház (Budaörs);kézzel font rattan, natúr;54x39 cm;11990;;2;23980;https://www.ikea.com/hu/hu/p/snidad-kosar-rattan-30394944/;A család legnagyobb, önálló 'szoborszerű' darabja – pléd- vagy fatároló a nappaliban/előszobában, ami nagy, letisztult felületként illik az irányelv 'kevesebb, de nagyobb tárgy' elvéhez.;"Rattan, nem tengerifű – kicsit nyíltabb fonású és világosabb, mint a KNIPSA/FLÅDIS pár; mintaegyeztetés ajánlott, ha teljesen egynemű családot szeretnének.";termékoldal;2026-09-20;200;HUF;11990;23980;;igen;;Prio 2;"Az egész ház végleges textil-, tároló- és dekorcsomagja később is összeállítható; indulásra csak a használt helyiségek alapfunkcióit rendezzük.";;
00-altalanos-hangulat;Fényszűrő len függöny;ajánlott;DYTÅG Függönypár, fehér;IKEA;online (ikea.com/hu) + áruház (Budaörs);100% lenvászon, fehér (törtfehérhez közeli);145x300 cm/db, párban (2 db/csomag);34990;/pár;11;384890;https://www.ikea.com/hu/hu/p/dytag-fueggoenypar-feher-fueggoenyrancolo-szalaggal-20466719/;Valódi 100% len, fényszűrő, 300 cm hosszú – pontosan az irányelv kérése (len/len hatású, törtfehér-bézs, a krém bézs nyílászáróhoz hangolva). A 11 ablakhoz 11 csomag (ablakonként 1 pár = 2x145 cm ≈ 2x a szokásos ablakszélesség) szükséges, szélesebb ablaknál 2 pár kombinálandó.;A név szerint 'fehér', a termékoldal szövege szerint a valódi len rostszíne miatt enyhén törtfehér árnyalatú – mintát érdemes kérni a krém bézs nyílászáróhoz illesztéshez.;termékoldal;2026-09-20;200;HUF;34990;384890;;igen;;Prio 2;"Az egész ház végleges textil-, tároló- és dekorcsomagja később is összeállítható; indulásra csak a használt helyiségek alapfunkcióit rendezzük.";Ahol már az első naptól belátásvédelem szükséges és más megoldás nincs, az adott ablak takarása P1.;
00-altalanos-hangulat;Fényszűrő len függöny;prémium;Daytime len függöny (Linen Tales), bézs/natúr;Bonami;online (bonami.hu), házhoz szállítás Magyarországra;100% lenvászon, natúr/bézs, European Flax + OEKO-TEX tanúsítvánnyal;130x275 cm/db – párhoz 2 db szükséges (≈260 cm együttes szélesség);30190;/db;2;60380;https://www.bonami.hu/p/daytime-kozepen-elhuzhato-bezs-vaszonfuggony-275-x-140-cm-linen-tales;Kézzel készített, litvániai valódi len, tanúsított (European Flax, OEKO-TEX), előmosott – prémium tapintás és minőség a fő nappalikba/hálóba, ahol számít a textil súlya és esése.;"Darabár – egy ablakhoz 2 db kell (≈60 380 Ft/ablak); a len természetéből adódóan darabonként lehet apró színeltérés.";termékoldal;2026-09-20;200;HUF;30190;60380;;igen;;Prio 2;"Az egész ház végleges textil-, tároló- és dekorcsomagja később is összeállítható; indulásra csak a használt helyiségek alapfunkcióit rendezzük.";Ahol már az első naptól belátásvédelem szükséges és más megoldás nincs, az adott ablak takarása P1.;
00-altalanos-hangulat;Fényszűrő len hatású függöny;olcsóbb;LENDA Függöny elkötővel 1 pár, törtfehér;IKEA;online (ikea.com/hu) + áruház (Budaörs);100% pamut (min. 50% újrahasznosított), törtfehér;140x250 cm, párban;11990;/pár;11;131890;https://www.ikea.com/hu/hu/p/lenda-fueggoeny-elkoetovel-1-par-toertfeher-fueggoenyrancolo-szalaggal-10633243/;Jóval olcsóbb fényszűrő alternatíva, törtfehér, elkötővel – 250 cm-es hossza még a hosszú, 'tócsázó' kategóriába esik.;"Nem len, hanem pamut – az irányelv textúráját (len fonat) nem adja vissza, csak a színt és a fényszűrést; rövidebb is (250 cm), mint a DYTÅG.";termékoldal;2026-09-20;200;HUF;11990;131890;;igen;;Prio 2;"Az egész ház végleges textil-, tároló- és dekorcsomagja később is összeállítható; indulásra csak a használt helyiségek alapfunkcióit rendezzük.";Ahol már az első naptól belátásvédelem szükséges és más megoldás nincs, az adott ablak takarása P1.;
00-altalanos-hangulat;Függönykarika (csak a karika nélküli karnisokhoz);prémium;Függönykarikák csipeszekkel 10 db 19 mm sárgaréz;OBI;OBI áruház – csak lefoglalás és áruházi átvétel (házhoz szállítás most nincs);"fém, antikolt sárgaréz hatású, matt (a bolt fotója alapján; a leírás csak „sárgaréz”-nek nevezi)";"19 mm átmérőjű függönyrúdhoz; 10 db/csomag, csipesszel";1649;/10 db (165 Ft/db). 33 csomag ≈ 330 karika a 11 ablakra. CSAK akkor kell, ha karika nélküli karnis (OBI Thasos / Umbra) mellett döntenek – az Árnyékolókweb szettek ára már tartalmazza a csipeszes karikákat.;33;54417;https://www.obi.hu/karnisok-es-huzalos-fueggoenysinek/fueggoenykarikak-csipeszekkel-10-db-19-mm-sargarez/p/4699609;Matt, antikolt sárgaréz színű csipeszes karika a karika nélkül árult 19 mm-es karnisokhoz (OBI Thasos, Umbra) – a lenfüggöny varrás nélkül felcsíptethető.;Az ajánlott Árnyékolókweb karnis-szettekhez NEM kell, azok ára tartalmazza a karikákat. Sötétebb, antikolt tónus: a matt arany Thasos / Umbra rúdtól elüthet – 1 csomagot venni és a rúdon felpróbálni (a 19/22 mm-es teleszkópos rúd vastagabb szakaszán szorulhat).;termékoldal;2026-09-20;200;HUF;1649;54417;;igen;;Prio 2;"Indulásra a használt háló és babaszoba külön rolójával számolunk; a teljes házas függöny/karnis összeállítás későbbre maradhat.";"Ha az induló sötétítést mégis függönnyel oldjátok meg, az ehhez kellő sín/karnis és bélés együtt P1; a szobai rolót ilyenkor kiváltják.";
00-altalanos-hangulat;Karnis (szálcsiszolt sárgaréz / matt arany);ajánlott;Egysoros 19mm karnis - CYLINDER - antik;Árnyékolókweb (arnyekolokweb.hu);"online rendelés, házhoz szállítás (2–3 nap); a rudat kérésre ingyen méretre vágják";"galvanizált fém, „antik (matt arany)” árnyalat – a fotón sötétebb, antikolt óarany tónus, matt – a termékoldal szó szerinti megnevezése; henger (cylinder) végzáró";"Ø 19 mm; választható rúdhossz 1000–4800 mm (2400 mm-ig egy darab, 3200 mm-től 2 rúd + toldó + 3 konzol); ingyenes méretre vágás";11990;"/szett, 3200 mm-es rúd karikákkal és csipeszekkel (30 db karika a szettben). Más hosszak ugyanígy karikával: 2400 mm 9 190 Ft (23 karika), 3600 mm 12 790 Ft, 4000 mm 13 490 Ft; karika nélkül 7 590 / 9 990 / 10 390 / 10 890 Ft. 30% akciós ár (listaár-alap 8 414 Ft helyett 5 890 Ft-tól). Az árakat a termékoldal változat-kalkulátora adta. 3 m feletti ablakra merevebb a Ø 25 mm-es testvérmodell (Egysoros 25mm karnis - PULLO - antik: 3200 mm karikával 12 590 Ft, 4000 mm 14 390 Ft – ugyanott). Az akció a bolt szerint 2026-09-21-ig érvényes – utána kb. 30%-kal drágább.";11;131890;https://arnyekolokweb.hu/egysoros-19mm-karnis-cylinder-antik/p-983375;"Matt arany, letisztult hengeres végzáróval – a ház egységes szálcsiszolt sárgaréz fémvilágához illő karnis; 210–385 cm között bármely méretre ingyen levágják, és a szett a konzolokat, végzárókat és a csipeszes karikákat is tartalmazza.";Az „antik” árnyalat kissé patinásabb lehet, mint a szálcsiszolt sárgaréz kilincs – 1 db-ot rendelni próbára és a kilincshez összenézni. 240 cm felett a rúd két darabból áll (toldóval, középső konzollal), a karika a toldásnál megakadhat. Ablakonként a pontos hosszt felmérés után kell kiválasztani, az ár a hossztól függ.;termékoldal;2026-09-20;200;HUF;11990;131890;;igen;;Prio 2;"Indulásra a használt háló és babaszoba külön rolójával számolunk; a teljes házas függöny/karnis összeállítás későbbre maradhat.";"Ha az induló sötétítést mégis függönnyel oldjátok meg, az ehhez kellő sín/karnis és bélés együtt P1; a szobai rolót ilyenkor kiváltják.";
00-altalanos-hangulat;Karnis (szálcsiszolt sárgaréz / matt arany);olcsóbb;Egysoros 19mm karnis - PULLO - antik;Árnyékolókweb (arnyekolokweb.hu);"online rendelés, házhoz szállítás (2–3 nap); ingyenes méretre vágás";"galvanizált fém, „antik (matt arany)” árnyalat – a fotón sötétebb, antikolt óarany tónus, matt; PULLO végzáró";"Ø 19 mm; rúdhossz 1000–4800 mm (2400 mm-ig egy darab, 3200 mm-től 2 rúd + toldó + 3 konzol)";11190;"/szett, 3200 mm karikákkal és csipeszekkel (30 db). 2400 mm: 8 290 Ft, 4000 mm: 12 690 Ft karikával; karika nélkül 6 690 / 9 090 / 9 990 Ft. 30% akció (alapár 7 271 Ft helyett 5 090 Ft-tól). Ár a termékoldal változat-kalkulátorából. Az akció a bolt szerint 2026-09-21-ig érvényes – utána kb. 30%-kal drágább.";11;123090;https://arnyekolokweb.hu/egysoros-19mm-karnis-pullo-antik/p-983385;A sorozat legolcsóbb végzárójával ugyanaz a matt arany, méretre vágott Ø 19 mm-es rúd – 11 ablaknál érezhető a különbség, a fémtónus így is egységes marad a házban.;A PULLO végzáró formáját a termékképen ellenőrizni (a hengeres CYLINDER letisztultabb). „Antik” = kissé patinásabb arany – mintával összenézni a kilincsekkel. 240 cm felett toldott rúd.;termékoldal;2026-09-20;200;HUF;11190;123090;;igen;;Prio 2;"Indulásra a használt háló és babaszoba külön rolójával számolunk; a teljes házas függöny/karnis összeállítás későbbre maradhat.";"Ha az induló sötétítést mégis függönnyel oldjátok meg, az ehhez kellő sín/karnis és bélés együtt P1; a szobai rolót ilyenkor kiváltják.";
